product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count
B08HDH26JX,boAt Deuce USB 300 2 in 1 Type-C,Computers&Accessories,299.0,699.0,57.0,4.2,94363
B09VT6JKRP,Lapster USB 3,Computers&Accessories,199.0,999.0,80.0,4.1,425
B09T3KB6JZ,TCL 100 cm,Electronics,18.0,40.0,54.0,4.2,6659
B093QCY6YJ,ZEBRONICS ZEB-USB150WF1 WiFi USB Mini Adapter Supports 150 Mbps Wireless Data,Computers&Accessories,290.0,349.0,17.0,3.7,1977
B093ZNQZ2Y,LOHAYA Remote Compatible for Mi Smart LED TV 4A Remote Control,Electronics,249.0,799.0,69.0,3.8,1079
B08LKS3LSP,Gilary Multi Charging Cable,Computers&Accessories,345.0,999.0,65.0,3.7,1097
B00V4BGDKU,TP-Link UE300 USB 3,Computers&Accessories,1.0,1.0,42.0,4.5,22420
B08CHKQ8D4,Wayona Type C to Lightning MFI Certified 20W Fast charging Nylon Braided USB C Cable for iPhone 14,Computers&Accessories,719.0,1.0,52.0,4.1,1045
B09BW334ML,Dealfreez Case Compatible with Fire TV Stick 3rd Gen 2021 Full Wrap Silicone Remote Cover Anti-Lost with Loop,Electronics,349.0,1.0,77.0,4.3,4145
B082T6GVLJ,Amazon Basics New Release Nylon USB-A to Lightning Cable Cord,Computers&Accessories,849.0,1.0,53.0,4.3,6547
B07DL1KC3H,Isoelite Remote Compatible for Samsung LED/LCD Remote Control Works with All Samsung LED/LCD TV Model No :- BN59-607A,Electronics,299.0,899.0,67.0,4.0,1588
B0B6F98KJJ,MI 100 cm,Electronics,21.0,29.0,27.0,4.2,32840
B07JNVF678,Wayona Nylon Braided USB Data Sync,Computers&Accessories,349.0,999.0,65.0,4.2,13120
B09QGZFBPM,Wayona Type C To Type C Long Fast Charging Cable Type C Charger Cord Compatible With Samsung S22 S20 S20 Fe 2022 S22 Ultra S21 Ultra A70 A51 A53 A33 A73 M51 M31 M33 M53,Computers&Accessories,399.0,999.0,60.0,4.3,2806
B07JGDB5M1,Wayona Nylon Braided 2M / 6Ft Fast Charge Usb To Lightning Data Sync And Charging Cable For Iphone,Computers&Accessories,449.0,1.0,65.0,4.2,24269
B0981XSZJ7,CROSSVOLT Compatible Dash/Warp Data Sync Fast Charging Cable Supported for All C Type Devices,Computers&Accessories,299.0,999.0,70.0,4.3,766
B0B9XLX8VR,VU 139 cm,Electronics,37.0,65.0,42.0,4.3,3587
B08Y5KXR6Z,PTron Solero T241 2,Computers&Accessories,99.0,800.0,88.0,3.9,24871
B09F6VHQXB,Croma 80 cm,Electronics,7.0,20.0,63.0,4.1,2581
B0974G5Q2Y,boAt Laptop,Computers&Accessories,273.1,999.0,73.0,4.3,20850
B09YL9SN9B,LG 80 cm,Electronics,15.0,23.0,33.0,4.3,1035
B09RX1FK54,boAt Type C A750 Stress Resistant,Computers&Accessories,399.0,999.0,60.0,4.1,1780
B09TT6BFDX,Cotbolt Silicone Protective Case Cover for LG an MR21GA Magic Remote Shockproof for LG Smart TV Remote 2021 Protective Skin Waterproof Anti Lost,Electronics,399.0,1.0,80.0,4.5,505
B09KH58JZR,Portronics Konnect L POR-1403 Fast Charging 3A Type-C Cable 1,Computers&Accessories,210.0,399.0,47.0,4.1,1717
B09DDCQFMT,Electvision Remote Control Compatible with Amazon Fire tv Stick,Electronics,1.0,1.0,35.0,3.6,590
B08RP2L2NL,King Shine Multi Retractable 3,Computers&Accessories,347.0,999.0,65.0,3.5,1121
B0B4G2MWSB,Lapster 5 pin mini usb cable,Computers&Accessories,149.0,999.0,85.0,4.0,1313
B0B21C4BMX,Portronics Konnect Spydr 31 3-in-1 Multi Functional Cable with 3,Computers&Accessories,228.0,899.0,75.0,3.8,132
B084MZXJNK,Belkin Apple Certified Lightning To Type C Cable,Computers&Accessories,1.0,1.0,20.0,4.4,1951
B0BHZCNC4P,Remote Control Compatible for Amazon Fire Tv Stick Remote Control [ 3rd Gen ],Electronics,1.0,3.0,63.0,3.7,37
B0B16KD737,VW 80 cm,Electronics,8.0,15.0,47.0,4.3,592
B099K9ZX65,Hisense 108 cm,Electronics,20.0,44.0,53.0,4.1,1259
B08Y55LPBF,Redmi 126 cm,Electronics,32.0,44.0,27.0,4.2,45238
B015OW3M1W,AmazonBasics 6-Feet DisplayPort,Electronics,799.0,1.0,53.0,4.1,28638
B01D5H8ZI8,AmazonBasics 3 Feet High Speed HDMI Male to Female 2,Electronics,229.0,595.0,62.0,4.3,12835
B09X1M3DHX,iFFALCON 80 cm,Electronics,9.0,27.0,64.0,4.2,1269
B09MM6P76N,7SEVEN® Compatible Lg Smart Tv Remote Suitable for Any LG LED OLED LCD UHD Plasma Android Television,Electronics,349.0,599.0,42.0,4.2,284
B01D5H8LDM,AmazonBasics 3,Electronics,489.0,1.0,59.0,4.4,69538
B0B1YY6JJL,Acer 109 cm,Electronics,23.0,34.0,31.0,4.3,4703
