id,discounted_price,actual_price,discount_percentage,rating,rating_count
300,379.0,999.0,62.0,4.2,12153
301,185.0,499.0,63.0,4.2,25
302,218.0,999.0,78.0,4.2,163
303,199.0,999.0,80.0,4.3,87
304,499.0,900.0,45.0,4.4,2165
305,26.0,42.0,37.0,4.2,1510
306,893.0,1.0,15.0,4.3,106
307,10.0,19.0,45.0,3.7,129
308,379.0,1.0,66.0,4.3,3049
309,16.0,25.0,35.0,4.2,32840
310,699.0,1.0,63.0,4.4,390
311,2.0,3.0,23.0,3.5,621
312,129.0,599.0,78.0,4.1,265
313,389.0,999.0,61.0,4.3,838
314,246.0,600.0,59.0,4.2,143
315,299.0,799.0,63.0,4.0,151
316,247.0,399.0,38.0,3.9,200
317,1.0,2.0,54.0,3.3,227
318,199.0,499.0,60.0,3.8,538
319,299.0,599.0,50.0,4.0,171
320,14.0,14.0,0.0,4.3,27508
321,299.0,699.0,57.0,3.9,1454
322,24.0,51.0,52.0,4.2,2951
323,61.0,69.0,11.0,4.1,6753
324,24.0,50.0,51.0,3.9,3518
325,10.0,19.0,46.0,4.2,1510
326,349.0,999.0,65.0,4.3,838
327,197.0,499.0,61.0,3.8,136
328,1.0,2.0,48.0,4.3,301
329,1.0,1.0,20.0,4.4,19763
330,46.0,69.0,33.0,4.3,21252
331,299.0,799.0,63.0,4.3,1902
332,1.0,19.0,91.0,4.2,13937
333,1.0,9.0,80.0,4.3,27696
334,1.0,7.0,75.0,3.8,17831
335,2.0,2.0,7.0,4.3,178912
336,6.0,8.0,28.0,4.0,7807
337,28.0,28.0,0.0,4.3,17415
338,28.0,28.0,0.0,4.3,17415
339,6.0,8.0,28.0,4.0,7807
340,6.0,8.0,28.0,4.0,7807
341,569.0,1.0,43.0,4.4,67259
342,1.0,4.0,62.0,4.1,10689
343,1.0,1.0,19.0,4.0,128311
344,1.0,6.0,79.0,3.9,21796
345,599.0,999.0,40.0,4.1,192590
346,9.0,11.0,21.0,4.2,284
347,599.0,2.0,76.0,3.9,58162
348,8.0,11.0,25.0,4.0,12796
349,349.0,1.0,73.0,4.0,14282
350,349.0,999.0,65.0,4.1,363713
351,959.0,1.0,47.0,4.4,67259
352,9.0,11.0,21.0,4.2,284
353,1.0,2.0,40.0,4.3,15970
354,1.0,2.0,48.0,4.3,178912
355,349.0,999.0,65.0,3.9,46399
356,1.0,1.0,28.0,4.4,8891
357,1.0,3.0,60.0,4.0,30254
358,1.0,7.0,81.0,4.2,22636
359,18.0,25.0,29.0,4.1,22318
360,369.0,700.0,47.0,4.4,67259
361,12.0,17.0,28.0,4.1,18998
362,1.0,19.0,91.0,4.2,13937
363,2.0,9.0,78.0,4.2,29471
364,16.0,24.0,32.0,4.1,22318
365,16.0,20.0,21.0,4.0,21350
366,1.0,19.0,91.0,4.2,13937
367,399.0,1.0,64.0,4.2,24270
368,8.0,10.0,23.0,4.1,313836
369,6.0,8.0,24.0,4.1,313836
370,1.0,19.0,91.0,4.2,13937
371,8.0,11.0,25.0,4.0,12796
372,139.0,495.0,72.0,4.3,14185
373,3.0,16.0,76.0,4.3,17159
374,2.0,5.0,50.0,4.1,5179
375,199.0,349.0,43.0,4.0,43993
376,15.0,18.0,18.0,4.1,19252
377,199.0,999.0,80.0,3.9,7928
378,1.0,19.0,91.0,4.2,13937
379,8.0,11.0,25.0,4.0,12796
380,873.0,1.0,49.0,4.4,1680
381,12.0,15.0,19.0,4.2,13246
382,539.0,1.0,66.0,3.8,14648
